date,temp,rain_in,snow_in,pct_cloud_cover,traffic_volume,holiday,year,month_day,month,day,weekday
2012-10-02,63.056000000000054,0.0,0.0,29.133333333333333,63289.0,None,2012,10-02,10,2,Tuesday
2012-10-03,55.87430000000005,0.0,0.0,3.85,66345.0,None,2012,10-03,10,3,Wednesday
2012-10-04,61.173500000000054,0.0,0.0,16.708333333333332,89939.0,None,2012,10-04,10,4,Thursday
2012-10-05,48.07072727272732,0.0,0.0,75.0,93336.0,None,2012,10-05,10,5,Friday
2012-10-06,40.27295652173917,0.0,0.0,61.65217391304348,74910.0,None,2012,10-06,10,6,Saturday
2012-10-07,38.461181818181856,0.0,0.0,82.04545454545455,67290.0,None,2012,10-07,10,7,Sunday
2012-10-08,39.113000000000035,0.0,0.0,14.625,82135.0,Columbus Day,2012,10-08,10,8,Monday
2012-10-09,49.119565217391354,0.03,0.0,68.82608695652173,86717.0,None,2012,10-09,10,9,Tuesday
2012-10-10,46.862750000000055,0.0,0.0,84.5,98252.0,None,2012,10-10,10,10,Wednesday
2012-10-11,41.843157894736876,0.0,0.0,52.89473684210526,74325.0,None,2012,10-11,10,11,Thursday
2012-10-12,46.534100000000024,0.0,0.0,69.35,80516.0,None,2012,10-12,10,12,Friday
2012-10-13,39.204500000000046,0.04,0.0,20.208333333333332,70500.0,None,2012,10-13,10,13,Saturday
2012-10-14,50.077837837837876,0.0,0.0,81.64864864864865,105532.0,None,2012,10-14,10,14,Sunday
2012-10-15,49.008714285714326,0.0,0.0,70.64285714285714,89400.0,None,2012,10-15,10,15,Monday
2012-10-16,49.66625000000005,0.0,0.0,41.041666666666664,89471.0,None,2012,10-16,10,16,Tuesday
2012-10-17,57.96320000000006,0.0,0.0,51.64,91414.0,None,2012,10-17,10,17,Wednesday
2012-10-18,53.16125000000003,0.01,0.0,87.5,88380.0,None,2012,10-18,10,18,Thursday
2012-10-19,45.08415384615389,0.21,0.0,89.38461538461539,133146.0,None,2012,10-19,10,19,Friday
2012-10-20,47.057375000000036,0.0,0.0,87.95833333333333,131124.0,None,2012,10-20,10,20,Saturday
2012-10-21,44.19371428571433,0.0,0.0,71.14285714285714,16800.0,None,2012,10-21,10,21,Sunday
2012-10-22,55.17114285714291,0.0,0.0,42.80952380952381,64530.0,None,2012,10-22,10,22,Monday
2012-10-23,54.011000000000045,0.08,0.0,76.79166666666667,84902.0,None,2012,10-23,10,23,Tuesday
2012-10-24,57.4262857142858,0.18,0.0,89.04081632653062,196654.0,None,2012,10-24,10,24,Wednesday
2012-10-25,53.64000000000006,0.75,0.0,89.33333333333333,188892.0,None,2012,10-25,10,25,Thursday
2012-10-26,39.565666666666694,0.0,0.0,89.72222222222223,189583.0,None,2012,10-26,10,26,Friday
2012-10-27,35.854250000000036,0.0,0.0,59.916666666666664,73567.0,None,2012,10-27,10,27,Saturday
2012-10-28,34.78025000000005,0.0,0.0,55.375,56486.0,None,2012,10-28,10,28,Sunday
2012-10-29,35.78825000000003,0.0,0.0,64.58333333333333,84458.0,None,2012,10-29,10,29,Monday
2012-10-30,37.816250000000046,0.0,0.0,61.083333333333336,88196.0,None,2012,10-30,10,30,Tuesday
