"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT13","WT14","WT15","WT16","WT17","WT18","WT22"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-10-02","4.70",,"0.00","0.0","0.0",,"72","44","  170","  160","12.1","15.0",,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-10-03","7.16",,"0.00","0.0","0.0",,"78","48","  160","  150","17.0","21.0",,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-10-04","19.46",,"0.00","0.0","0.0",,"64","42","  280","  280","30.0","38.0",,,,,,,"    1",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-10-05","16.78",,"0.00","0.0","0.0",,"48","36","  270","  270","28.0","36.9",,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-10-06","9.17",,"0.00","0.0","0.0",,"45","33","  310","  290","17.9","25.1",,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-10-07","7.38",,"0.00","0.0","0.0",,"53","28","  220","  190","17.9","25.9",,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-10-08","9.40",,"0.00","0.0","0.0",,"64","39","  220","  220","19.9","29.1",,,,,,,,,,,,"    1",,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-10-09","12.53",,"0.03","0.0","0.0",,"50","36","  280","  320","25.9","38.9","    1",,,,,,,,,,,"    1",,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-10-10","9.62",,"0.00","0.0","0.0",,"55","32","  210","  190","19.9","30.0",,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-10-11","11.41",,"0.00","0.0","0.0",,"55","33","  340","  320","23.0","29.1",,,,,,,,,,,,"    1",,,
